(forest ) plant sociology	森林植物社會學
Malaysia Friendship & Trade Centre, Taipei ; MFTC	馬來西亞友誼及貿易中心
Malaysian night herons	黑冠麻鷺
Malformation	畸形
Malignant Catarrhal Fever	惡性卡他熱
Malignant catarrhal fever of deer	鹿惡性卡他熱
Malignant edema	惡性水腫
Malt sprouts	麥根
Maltase	麥芽糖敫
Malthopsia lutea Alcock	密星三角棘茄魚
Malthopsis annulifera Tanaka	環紋三角棘茄魚
Malting feed	發酵飼料
Maltose	麥芽糖
Mammalia	哺乳類
Mammalian ecology	哺乳類生態學
Managed Forestland	人工林
Management	管理
Management and Administration ; M&A	管理與行政
Management of Red Tide and Harmful Algal Blooms ; MRT/HAB	紅潮毒藻管理
Manager of … Propagation Station	繁殖場場長(9職等)
Mandarian rat snake	高砂蛇(玉斑錦蛇)
Mandarin Duck	鴛鴦（官鴨、匹鳥）
Manganese	錳
Manganese intoxication	錳中毒
Manila Action Plan for APEC ; MAPA	APEC馬尼拉行動計畫
Manila Economic and Cultural Office ; MECO	馬尼拉經濟文化辦事處
Mannitol	甘露醇
Manta birostris (Donndorff)	鬼蝠魟
Mantle	外套膜
Mantle cavity	外套腔
Mantle piece	小片
Manual	手冊
Manufacture	製造
Mao-ao	卯澳
Maosing National Trail	茂興國家步道
Marcia hiantina	淺蜊
Marek's Disease	馬立克病
Marek,s disease	馬立克病
Marek’s Disease	馬立克病
Margaritana	珍珠蚌
Margarya melanioides	螺獅
Margin of safety (MOS)	安全界限
Marian Hiking Trail	聖母登山步道
Mariculture	海水養殖
Marine Culture	海面養殖
Marine algae	海藻
Marine animals	海洋動物
Marine bacteria	海洋細菌
Marine beef	海牛肉
Marine chemistry	海洋化學
Marine diatom	海洋矽藻
Marine drug	海洋藥物
Marine ecology	海洋生態
Marine engineering	海洋工程
Marine environment	海洋環境
Marine facility	海洋設施
Marine farm	海洋牧場
Marine fish	海水魚
Marine fisheries	海洋漁業
Marine fishery	海洋漁業
Marine fishes	海水魚
Marine fishing	海洋捕撈
Marine food processing	海洋食品加工
Marine law	海洋法
Marine map	海圖
Marine meteorology	海洋氣象學
Marine oil	水產動物油
Marine organism	海洋生物
Marine park	海洋公園
Marine pollution	海洋污染
Marine pond extensive culture	海水魚塭養殖
Marine products	海產品
Marine resources	海洋資源
Marine technology	海洋技術
Marine white spot disease	海水性白點病症
Marine yeast	海洋酵母菌
Maritime distress	海難
Maritime politics	海洋政策
Market	市場
Market Access	市場開放
Market Access Ombudsman Council ; MAOC	市場進入申訴委員會
Market Discipline	市場紀律
Market Management Section	市場管理科
Market basket survey	市場消費調查
Market forecast	市場預測
Market management	市場管理
Market sale	市場銷售
Marketable economy	商品經濟
Marketable fish	商品魚
Marketing	銷售
Marketing Service Section	行銷輔導科
Marketing amount	上市量
Marketing and Processing Division	運銷加工組
Marking	標識放流
Marlin	旗魚
Marlins & Sailfish	旗魚
Maroon oriole	朱鸝（紅鶯）
Marsh	沼澤
Mash feed ; Mash	粉狀飼料
Mashagou	馬沙溝
Mass culture	大量養殖
Mass mortality	大量死亡
Mass production	大量生產
Mass selection	混合選擇，群選
Massager and Tumbler	按摩及滾打器
Mastacembelidae	棘鰍科
Mastitis	乳房炎
Masturus lanceolatus (Lienard)	槍尾翻車魚
Masturus oxyuropterus (Bleeker)	尖尾翻車魚
Material	材料
Material metabolism	物質代謝
Material recycle	物質循環
Materials mechanics	材料力學
Mathematical analysis	數學分析
Mathematical mode	數學模式
Mating	交配
Matrix	基質
Matsu Islands Tern Refuge	馬祖列島燕鷗保護區
Maturation	成熟
Matured grey mullet	成熟烏魚
Maturity	成熟度
Maximum Coverage	最高保額
Maximum equilibrium yield	最大平衡漁獲量
Maximum residue limit (MKL)	最高殘留限僅
Maximum sustained yield	最大持續漁獲量
Maximum tolerated dose (MTD)	最高耐受劑量
Maximun Residue Limit ; MRL	農藥在作物中之最高殘留限值
Mazu Islands Major Wildlife Habitat	馬祖列島野生動物重要棲息環境
Meal	粉料
Mean value	平均數
Measles	麻疹
Measurement	測量
Measuring Mark	測標
Measuring error	測量誤差
Measuring instrument	測量儀器
Meat	肉
Meat Inspection	屠宰衛生檢查
Meat and Bone Meal	肉骨粉
Meat and bone meal	肉骨粉
Meat and bone meal tankage	骨肉雜
Meat meal ; Meat scrap	肉粉
Meat meal tankage	肉雜
Meat of Sheep, Lambs and Goats	羊肉
Meat protein	肉蛋白質
Meat separating	採肉
Meat separator	採肉機
Mechanical action	機械活動
Mechanical aeration	機械增氧
Mechanical behavior	機械行為
Mechanical character	機械特性
Mechanical damage	機械損傷
Mechanical drive	機械傳動
Mechanical injury	機械性外傷
Mechanical property	機械性能
Mechanical study	機械研究
Mechanization	機械化
Mecopoda elongata	台灣騷蟴
Median Lethal Concentration ; LC50	半數致死濃度
Median Lethal Dose ; LD50	半數致死劑量
Median effective concentration (EC50)	半數有效濃度
Median lethal concentration	半致死濃度
Median lethal concentration (LC50)	半數致死濃度
Median lethal dose (LD50)	半數致死劑量
Medical treatment	藥物防治
Medicated feed	含藥物飼料
Medicinal organism	藥用生物
Medicine feeding method	投藥方法
Mediterranean sea	地中海
Medium moisture	中等濕度
Medusoma	水母
Megalobatrachus daridi	大倪
Megalobrama amblycephala	團頭魴、武昌魚
Megalobrama macrops	大目孔
Megalobrama terminalis	魴
Megalonibea fusca Chu	Lo & Wu  褐毛鱨
Megalopa	大眼幼體
Megalopidae	大眼海鰱科
Megalops cyprinoides (Broussonet)	大眼海鰱
Megaptera novaeanglidae	大翅鯨
Meiosis	減數分裂
Meiyanshan	美豔山
Melanism	黑變病
Melanoma	黑素瘤
Melanosarcoma	黑色肉瘤
Melanostomias melanopogon Regan & Trewavas	黑廣口魚
Melanostomiatidae	黑廣口魚科
Melichthys niger Bloch	黑皮剝魨
Melichthys vidua (Solander)	黃鰭皮魨
Melioidosis	類鼻疽
Melodious laughing thrush	畫眉（台灣畫眉、花?）
Melon-headed whale	瓜頭鯨(多齒黑鯨、烏牛)
Men's Room／Gentlemen's Room	男化妝室／男廁所
Mene maculata (Bloch & Schneider)	眼眶魚、皮刀、皮鞋刀、菜刀魚
Meng-ao	猛澳
Menhaden feed fat	墨罕敦魚魚油
Menidae	眼眶魚科
Mercury	水銀，汞
Mercury accumulation	水銀積聚
Mercury contamination	汞污染
Mercury content	汞含量
Mercury intoxication	水銀中毒
Mercury residue	汞殘存量
Meretrix lusoria	文蛤、蚶仔、粉堯
Meretrix meretrix	文蛤
Mesh	網目
Mesh regulation	網目限制
Mesh selection	網目選擇
Mesh selectivity	網目選擇性
Mesh size	網目大小
Mesh strength	網目強力
Mesocosm	中型生態系
Mesophyte	中生植物
Mesoplodon carlhubbsi Moore	胡氏喙鯨
Mesoplodon densirostris (de Blainvellie	布蘭氏喙鯨
Mesoplodon ginkgodens Nishiwaki & Kamiya	銀杏齒喙鯨
Mesozoic era	中生代
Message Transmission System	簡訊發送系統
Messenger	工友(送公文)
Metabolic disorder	代謝失調
Metabolism	新陳代謝
Metabolite	代謝物
Metabolites	代謝物
Metal	金屬
Metal Frame Vegetative Slope Stabilization	預鑄框型植生
Metal poisoning	金屬中毒
Metamorphosis	變態
Metapenaeopsis barbata	鬚赤對蝦
Metapenaeus ensis de Haan	砂蝦、劍角新對蝦、蘆蝦
Metaplasia	化生（變生性發育）
Metastasis	轉移
Meteorology	氣象學
Methane	甲皖
Methane fertilizer	沼氣肥
Methionine	甲硫胺酸或蛋胺酸
Methyl-mercury	甲基汞
Metropolitan Waterworks Authority ; MWA	大都會水利工程處
Metzia mesembrina (Jordan & Evermann)	蘭嶼石鮒
Mianhua Islet Major Wildlife Habitat	棉花嶼野生動物重要棲息環境
Mianhua and Huaping Islets Wildlife Refuge	棉花嶼、花瓶嶼野生動物保護區
Miaoli District Agricultural Research and Extension Station	苗栗區農業改良場
Miaoli Sanyi Huoyanshan Nature Reserve	苗栗三義火炎山自然保留區
Micro mineral	微量元素
Micro-community	微小群聚
Micro-ecology	微生態學
Microalgae	小型藻類
Microbial Contamination	微生物污染
Microbial protein	菌體蛋白
Microbiological pollution	微生物污染
Microbiological quality	微生物性質
Microbiology	微生物學
Microbiota	微生物相
Microcanthus strigatus (Cuvier & Valenciennes)	柴魚
Microchip number	晶片號碼
Microcosm	微觀生態系
Microdonophis erabo Jordan & Snyder	紋蛇鰻
Microdonophis polyphthalmus (Bleeker)	斑蛇鰻
Microflagellates	微鞭毛藻
Micrognathus brevirostris	短吻海龍
Micrognathus mataafac (Jordan & Seale)	馬塔法海龍
Microorganism	微生物
Microorganisms	微生物
Microparticulate diet	微顆粒飼料
Micropellet feed	微顆粒飼料
Microphis boaja (Bleeker)	寶珈海龍
Microphis manadensis (Bleeker)	印尼海龍、瑪那海龍
Micropterus salmoides	黑鱸、美洲鱸、美洲鱸
Microscope	顯微鏡
Microscopy	顯微鏡技術
Microsporidiosis	微包子蟲病
Microstructure	顯微結構
Microwave	微波
Microwave drying	微波乾燥
Microwave thawing	微波解凍
Mid sea	外海
Mid sea fishing	外海捕撈
Mid-water trawl	中層拖網
Mid-water trawling	中層拖網
Middle Scale Drying System	中型乾燥系統
Midifiable factor	修改因子
Midwater bull trawl	中層拖網
Migration	回游
Migratory fish	回游魚類
Miichthys miiuy (Basilewsky)	鮸魚
Mikado Pheasant	黑長尾雉（帝雉、海雉、烏雉）
Military Service	役政課
Milk Fish	虱目魚
Milkfish	虱目魚
Milkfish bait	虱目魚餌
Milkfish culture	虱目魚養殖
Milkfish farming	虱目魚養殖
Milkfish fry	虱目魚苗
Milkfish larvae	虱目魚子魚
Milkfish pond	虱目魚池
Milled rice with embryo	胚芽米
Millet	粟
Mimosine	含羞草胺酸
Minamata disease	水侯病
Mineral fertilizer	無機肥料
Mineralisation	礦化作用
Minerals and Energy Forum ; MEF	礦產與能源論壇
Minister	主任委員
Ministerial Meeting ; MM	部長會議
Ministry of Economic Affairs	經濟部
Ministry of Finance	財政部
Misc. Fish Long Line	鯛及雜魚延繩釣
Misc. sea bream fry	什鯛
Misc. seabream	其他鯛
Misgurnus anguillicaudatus (Cantor)	泥鰍
Mitosis	有絲分裂
Mitten crab culture	河蟹養殖
Mituo	彌陀
Mixed corn	混合玉米
Mixed cron	混合玉米
Mixed feed	混合飼料
Mixed fish soluble meal ; Compound fish soluble powder	混合魚溶粉
Mixed netting twine	混合線
Mixed rope	混合繩
Mixed seasoning	混合調味
Mixed sorghum	混合高梁
Mixer	混合機
Mobula diabolus (Shaw)	姬蝠魟、細皮異
Mobula formosona Teng	臺灣蝠魟
Mobula japonica (Muller & Henle)	日本蝠魟、粗皮異
Mobulidae	蝠魟科
Model	模式
Model calibration	模式校試
Model ecosystem	模擬生態系
Model experiment	模式試驗
Model net	模式網
Model selection	選型
Model test	模型試驗
Model validation	模式驗證
Model verification	模式確認
Model, computer	電腦模式
Model, conceptual	觀念模式
Modeling	模式化
Modernization	現代化
Modified atmosphere	氣調
Modified atmospheric packaging	氣調包妝
Mogurnda obscura (Temminck & Schlegel)	土鮒
Moist pellet	溼顆粒
Moisture content	含水率
Moisture loss	失水率
Moisture regain	回潮率
Mokichi Okada Association ; MOA	財團法人國際美育自然生態基金會
Mola mola (Linnaeus)	翻車魚
Molasses	糖蜜
Molasses distillers dried soluble	糖蜜酒粕(蜜膠)
Mold	霉菌
Molecular Biology Farm	分子牧場
Molecular biology	分子生物學
Molecular weight	分子量
Molidae	翻車魨科
Mollusca	軟體動物
Molluscum fibrosum	纖維性軟疣
Mollusk	軟體動物
Moloidei	翻車魚亞目
Moltrecht's Green Tree Frog	莫氏樹蛙
Moltrecht’s Green Tree Frog	莫氏樹蛙
Molybdenum	鉬
Monacanthidae	單棘魨科
Monacanthus chinensis (Osbeck)	中國單棘魨
Monensin	孟寧素
Monitoring	監測
Monitoring System	監測系統
Monitoring、control、surveillance	「監測、管制與偵察」
Monkfish	石頭魚
Monoammonium phosphate	磷酸氨
Monocentridae	松毬魚科
Monocentris japonicus (Houttuyn)	松毬魚
Monodactylidae	銀鱗鯧科
Monodactylus argenteus (Linnaeus)	銀鱗鯧
Monogean infestation	單殖類感染症
Monogeniasis	單殖吸蟲病
Monomitopus kumai Jordan & Hubbs	庫馬鼬魚
Monopterus albus (Zuiew)	黃鱔，田鰻
Monosaccharides	單糖類
Monosex	單性
Monosex culture	單性養殖
Monostroma nitidum	礁膜
Monostroma paste	礁膜
Monotaxis grandoculis (Forsskal)	異黑鯛
Monsoon	季風
Monthly catch	月漁獲量
Montreal Convention ; MC	蒙特婁公約
Montreal Protocal	蒙特婁議定書
Monument	旌功碑
Moonfish	皮刀
Moonfishes	翻車魚
Moral Hazard	道德風險
Morbidity	發病率
Morbus nodulosus	丘疹病
Moridae	稚鱈科
Moringua abbreviata (Bleeker)	線蚓鰻
Moringua macrocephala (Bleeker)	大頭蚓鰻
Moringuidae	蚓鰻科
Morone saxatilis	條紋鱸
Moronidae	鱸科
Morphogenesis	形態發生
Morphological identification	形態識別
Morphological observation	形態觀查
Morphology	形態學
Morphometric characters	形態特徵
Morphometric study	形態測定研究
Mortality	死亡率
Mortality rate	死亡率
Mortgage loan	房屋抵押貸款
Most-Favored Nations / Most-Favored-Nation Treatment ; MFN	最惠國待遇
Motility test	運動性試驗
Moulting	蛻皮
Mountain area	山區
Mouth part	口器
Movable Computer-aided Auction System	移動式電腦輔助拍賣系統
Movable aerator	可移動式增氧機
Muck	糞肥
Mucous degeneration	黏液變性
Mucous diarrhea	黏液性腹瀉
Mud blister	泥胞病
Mud blisters	牡蠣殼泥泡病
Mud carp	鯁魚
Mud crab	泥蟹
Mud fish pond	軟式魚池
Mud pump	泥漿泵
Mud skipper	花跳
Mudcarp fry	鯁魚苗
Mudskipper	彈塗魚
Mugil affinis Gunther	鋸鯔
Mugil cephalus Linnaeus	鯔、烏魚、 回頭烏、信魚
Mugil soiung	梭魚
Mugil subviridis (Cuvier & Valenciennes)	白鯔
Mugilidae	鯔科
Mugilo kelaartii Gunther	噶拉鯔
Mugiloididae	擬鯔科
Muller’s barbets	五色鳥
Mullet	烏魚
Mullet Gizzards	烏魚腱
Mullet culture	烏魚養殖
Mullet fishery	烏漁業
Mullet fry	烏魚苗
Mullet larvae	烏魚子魚
Mullet production	烏魚生產量
Mullet roe	烏魚子
Mullet(Striped mullet)	烏魚
Mullidae	鬚鯛科
Mulloidichthys auriflamma (Forsskal)	紅鬚鯛
Mulloidichthys erythrinus (Klunzinger)	黃帶鬚鯛
Mulloidichthys flavolineatus Lacepede	瘦金帶鬚鯛
Mulloidichthys vanicolensis	焰鬚鯛
Multi-purpose fish boat	多種作業漁船
Multilateral Agreement on Investment ; MAI	多邊投資協定
Multilateral Investment Guarantee Agency ; MIGA	多邊投資保障組織
Multilateral Trade Negotiation ; MTN	多邊貿易談判
Multinational company	跨國公司
Multiresidue method	殘留量多重分析法
Multivalent vaccine	多價疫苗
Mulyuliao Station	木履寮車站
Mumps	腮腺炎
Mung bean	綠豆
Muraena pardalis Temminck & Schlegel	偺橡
Muraenesocidae	海鰻科
Muraenesox bagio (Hamilton)	百吉海鰻
Muraenesox cinereus (Forsskal)	灰海鰻、虎鰻、薯鰻、金線鰻
Muraenichthys gymnothus Bleeker	裸蟲鰻
Muraenidae	鯙科
Muscle	肌肉
Muscle degeneration	肌肉變性
Muscle protein	肌肉蛋白
Mussel	貽貝
Mussel culture	貽貝養殖
Mussel sauce	貽貝露
Mustard meal	芥末粕
Mustela vison	水貂
Mustelus griseus Pietschmann	灰貂鮫
Mustelus kanekonis (Tanaka)	白沙貂鮫
Mustelus manazo Bleeker	星貂鮫
Mutagen	誘變劑
Mutation	突變
Mutation breeding	誘變育種
Mutual Recognition Agreement ; MRA	相互承認安排
Mycobacteria	分枝桿菌
Mycobacterium bovis	牛型結核桿菌
Mycobacterium paratuberculosis	副結核菌
Mycobacterium tuberculosis	人型結核桿菌
Mycoplasmosis (M. gallisepticum)	家禽黴漿菌病
Mycoplasmosis (M.gallisepticum)	家禽黴漿菌病
Myctophidae	燈籠魚科
Myiasis	蠅蛆病
Myliobatidae	燕魟科
Myliobatis tobijei Bleeker	燕魟
Myoma	肌瘤
Myosarcoma	肌肉瘤
Myosin	肌球蛋白
Myrichthus maculosus (Cuvier)	巨斑蛇鰻
Myrichthys aki Tanaka	宏歧蛇鰻
Myrichthys colubrinus Boodaert	竹節蛇鰻
Myripristis adustus Bleeker	焦松毬魚
Myripristis kuntee Cuvier	康提松毬魚
Myripristis murdjan (Forsskal)	赤松毬魚
Myripristis parvidens Cuvier	小齒松毬魚
Myripristis pralinius Cuvier & Valenciennes	堅松毬魚
Myripristis violaceus Bleeker	紫松毬魚
Myrophis cheni Chen & Weng	陳氏油鰻
Mysis	糠蝦
Mysis larva	糠蝦幼體
Mysticeti	鬚鯨亞目
Mytilidae	貽貝
Mytilus	貽貝
Mytilus (Chloromya) viridis	翡翠貽貝
Mytilus crassitesta	厚殼貽貝
Mytilus edulis (Lamarch)	紫貽貝
Mytilus smaragdinus	淡菜、貽貝、淡菜
Myxine	盲鰻
Myxinidae	盲鰻
Myxoboliosis	碘泡蟲病
Myxocyprinus asiaticus	胭脂魚
Myxofibroma	黏液纖維瘤
Myxoma	黏液瘤
Myxomatosis	兔傳染性粘液瘤
Myxosarcoma	黏液肉瘤
Myxosomosis	黏體蟲病
Myxosporidiasis	黏包子蟲病
N (Fowl cholera)	家禽霍亂
NGIS (National Geographic Information System)	國土資訊系統
NMR(Nuclear magnetic resonance spectroscopy.)	核磁共振光譜儀
NPD	氮磷檢出器
Na-Ascorbate	抗壞血酸鈉
Na-Pantothenate	泛酸鈉
Naaldwijk Declaration	那德威克宣言
Nacreous layer powder	珍珠層粉
Nairobi Sheep Disease	綿羊奈洛比病
Naked barley	裸大麥
Nan-Sha Island	南砂島
Nan-ao	南澳
Nanao Broad-leaved Forest Nature Reserve	南澳闊葉樹林自然保留區
Nanao Station	南澳工作站
Nanao broad-leaved nature reserve	南澳闊葉樹林自然保留區
Nanbeiliao	南北寮
Nanfang-ao	南方澳
Nangang	南港
Nanhua Station	南華工作站
Nanoplankton	微小浮游生物
Nanren	南仁
Nantou Forest District Office	南投林區管理處
Nantou Forest District Office, Forestry Bureau	林務局南投林區管理處
Nanya	南雅
Napier grass ; Elephant grass	狼尾草
Napier grass meal	狼尾草粉
Narrow Band Direct Printing	狹頻道直接印字電報
Narrow Band Direct Printing ; NBDP	狹頻道直接印字電報
Narrow barred spanish mackerel	土拖鰆
Naso annulatus (Quoy & Gaimard)	短觟天狗鯛
Naso brevirostris (Cuvier & Valenciennes)	短吻天狗鯛
Naso herrei Smith	赫氏天狗鯛
Naso hexacanthus (Bleeker)	六棘天狗鯛
Naso trberosus Lacepede	瘤鼻天狗鯛
Naso unicornis (Forsskal)	獨角天狗鯛
Naso vlamingii (Cuvier & Valenciennes)	高鼻天狗鯛
Nasonovia ribisnig Mosley	萵苣蚜蟲
Nation Forestry sustained Management Plan	國家森林永續經營計畫
National Certification System of Conformity ; NCSC	國家認証系統
National Commission for Foreign Investment ; NCFI	外人投資國家委員會
National Competition Policy ; NCP	國家競爭政策
National Disaster Prevention and Response Committee, the Executive Yuan	行政院災害防救委員會
National Endowment for the Arts ; NEA	國家藝術基金會
